Hex-Value;Type;Sign;Name
0023; Emoji;#️;number sign
002A; Emoji;*️;asterisk
0030..0039; Emoji;0️..9️;digit zero..digit nine
00A9; Emoji;©️;copyright
00AE; Emoji;®️;registered
203C; Emoji;‼️;double exclamation mark
2049; Emoji;⁉️;exclamation question mark
2122; Emoji;™️;trade mark
2139; Emoji;ℹ️;information
2194..2199; Emoji;↔️..↙️;left-right arrow..down-left arrow
21A9..21AA; Emoji;↩️..↪️;right arrow curving left..left arrow curving right
231A..231B; Emoji;⌚..⌛;watch..hourglass done
2328; Emoji;⌨️;keyboard
23CF; Emoji;⏏️;eject button
23E9..23EC; Emoji;⏩..⏬;fast-forward button..fast down button
23ED..23EE; Emoji;⏭️..⏮️;next track button..last track button
23EF; Emoji;⏯️;play or pause button
23F0; Emoji;⏰;alarm clock
23F1..23F2; Emoji;⏱️..⏲️;stopwatch..timer clock
23F3; Emoji;⏳;hourglass not done
23F8..23FA; Emoji;⏸️..⏺️;pause button..record button
24C2; Emoji;Ⓜ️;circled M
25AA..25AB; Emoji;▪️..▫️;black small square..white small square
25B6; Emoji;▶️;play button
25C0; Emoji;◀️;reverse button
25FB..25FE; Emoji;◻️..◾;white medium square..black medium-small square
2600..2601; Emoji;☀️..☁️;sun..cloud
2602..2603; Emoji;☂️..☃️;umbrella..snowman
2604; Emoji;☄️;comet
260E; Emoji;☎️;telephone
2611; Emoji;☑️;check box with check
2614..2615; Emoji;☔..☕;umbrella with rain drops..hot beverage
2618; Emoji;☘️;shamrock
261D; Emoji;☝️;index pointing up
2620; Emoji;☠️;skull and crossbones
2622..2623; Emoji;☢️..☣️;radioactive..biohazard
2626; Emoji;☦️;orthodox cross
262A; Emoji;☪️;star and crescent
262E; Emoji;☮️;peace symbol
262F; Emoji;☯️;yin yang
2638..2639; Emoji;☸️..☹️;wheel of dharma..frowning face
263A; Emoji;☺️;smiling face
2640; Emoji;♀️;female sign
2642; Emoji;♂️;male sign
2648..2653; Emoji;♈..♓;Aries..Pisces
265F; Emoji;♟️;chess pawn
2660; Emoji;♠️;spade suit
2663; Emoji;♣️;club suit
2665..2666; Emoji;♥️..♦️;heart suit..diamond suit
2668; Emoji;♨️;hot springs
267B; Emoji;♻️;recycling symbol
267E; Emoji;♾️;infinity
267F; Emoji;♿;wheelchair symbol
2692; Emoji;⚒️;hammer and pick
2693; Emoji;⚓;anchor
2694; Emoji;⚔️;crossed swords
2695; Emoji;⚕️;medical symbol
2696..2697; Emoji;⚖️..⚗️;balance scale..alembic
2699; Emoji;⚙️;gear
269B..269C; Emoji;⚛️..⚜️;atom symbol..fleur-de-lis
26A0..26A1; Emoji;⚠️..⚡;warning..high voltage
26A7; Emoji;⚧️;transgender symbol
26AA..26AB; Emoji;⚪..⚫;white circle..black circle
26B0..26B1; Emoji;⚰️..⚱️;coffin..funeral urn
26BD..26BE; Emoji;⚽..⚾;soccer ball..baseball
26C4..26C5; Emoji;⛄..⛅;snowman without snow..sun behind cloud
26C8; Emoji;⛈️;cloud with lightning and rain
26CE; Emoji;⛎;Ophiuchus
26CF; Emoji;⛏️;pick
26D1; Emoji;⛑️;rescue worker’s helmet
26D3; Emoji;⛓️;chains
26D4; Emoji;⛔;no entry
26E9; Emoji;⛩️;shinto shrine
26EA; Emoji;⛪;church
26F0..26F1; Emoji;⛰️..⛱️;mountain..umbrella on ground
26F2..26F3; Emoji;⛲..⛳;fountain..flag in hole
26F4; Emoji;⛴️;ferry
26F5; Emoji;⛵;sailboat
26F7..26F9; Emoji;⛷️..⛹️;skier..person bouncing ball
26FA; Emoji;⛺;tent
26FD; Emoji;⛽;fuel pump
2702; Emoji;✂️;scissors
2705; Emoji;✅;check mark button
2708..270C; Emoji;✈️..✌️;airplane..victory hand
270D; Emoji;✍️;writing hand
270F; Emoji;✏️;pencil
2712; Emoji;✒️;black nib
2714; Emoji;✔️;check mark
2716; Emoji;✖️;multiply
271D; Emoji;✝️;latin cross
2721; Emoji;✡️;star of David
2728; Emoji;✨;sparkles
2733..2734; Emoji;✳️..✴️;eight-spoked asterisk..eight-pointed star
2744; Emoji;❄️;snowflake
2747; Emoji;❇️;sparkle
274C; Emoji;❌;cross mark
274E; Emoji;❎;cross mark button
2753..2755; Emoji;❓..❕;question mark..white exclamation mark
2757; Emoji;❗;exclamation mark
2763; Emoji;❣️;heart exclamation
2764; Emoji;❤️;red heart
2795..2797; Emoji;➕..➗;plus..divide
27A1; Emoji;➡️;right arrow
27B0; Emoji;➰;curly loop
27BF; Emoji;➿;double curly loop
2934..2935; Emoji;⤴️..⤵️;right arrow curving up..right arrow curving down
2B05..2B07; Emoji;⬅️..⬇️;left arrow..down arrow
2B1B..2B1C; Emoji;⬛..⬜;black large square..white large square
2B50; Emoji;⭐;star
2B55; Emoji;⭕;hollow red circle
3030; Emoji;〰️;wavy dash
303D; Emoji;〽️;part alternation mark
3297; Emoji;㊗️;Japanese “congratulations” button
3299; Emoji;㊙️;Japanese “secret” button
1F004; Emoji;🀄;mahjong red dragon
1F0CF; Emoji;🃏;joker
1F170..1F171; Emoji;🅰️..🅱️;A button (blood type)..B button (blood type)
1F17E..1F17F; Emoji;🅾️..🅿️;O button (blood type)..P button
1F18E; Emoji;🆎;AB button (blood type)
1F191..1F19A; Emoji;🆑..🆚;CL button..VS button
1F1E6..1F1FF; Emoji;🇦..🇿;regional indicator symbol letter a..regional indicator symbol letter z
1F201..1F202; Emoji;🈁..🈂️;Japanese “here” button..Japanese “service charge” button
1F21A; Emoji;🈚;Japanese “free of charge” button
1F22F; Emoji;🈯;Japanese “reserved” button
1F232..1F23A; Emoji;🈲..🈺;Japanese “prohibited” button..Japanese “open for business” button
1F250..1F251; Emoji;🉐..🉑;Japanese “bargain” button..Japanese “acceptable” button
1F300..1F30C; Emoji;🌀..🌌;cyclone..milky way
1F30D..1F30E; Emoji;🌍..🌎;globe showing Europe-Africa..globe showing Americas
1F30F; Emoji;🌏;globe showing Asia-Australia
1F310; Emoji;🌐;globe with meridians
1F311; Emoji;🌑;new moon
1F312; Emoji;🌒;waxing crescent moon
1F313..1F315; Emoji;🌓..🌕;first quarter moon..full moon
1F316..1F318; Emoji;🌖..🌘;waning gibbous moon..waning crescent moon
1F319; Emoji;🌙;crescent moon
1F31A; Emoji;🌚;new moon face
1F31B; Emoji;🌛;first quarter moon face
1F31C; Emoji;🌜;last quarter moon face
1F31D..1F31E; Emoji;🌝..🌞;full moon face..sun with face
1F31F..1F320; Emoji;🌟..🌠;glowing star..shooting star
1F321; Emoji;🌡️;thermometer
1F324..1F32C; Emoji;🌤️..🌬️;sun behind small cloud..wind face
1F32D..1F32F; Emoji;🌭..🌯;hot dog..burrito
1F330..1F331; Emoji;🌰..🌱;chestnut..seedling
1F332..1F333; Emoji;🌲..🌳;evergreen tree..deciduous tree
1F334..1F335; Emoji;🌴..🌵;palm tree..cactus
1F336; Emoji;🌶️;hot pepper
1F337..1F34A; Emoji;🌷..🍊;tulip..tangerine
1F34B; Emoji;🍋;lemon
1F34C..1F34F; Emoji;🍌..🍏;banana..green apple
1F350; Emoji;🍐;pear
1F351..1F37B; Emoji;🍑..🍻;peach..clinking beer mugs
1F37C; Emoji;🍼;baby bottle
1F37D; Emoji;🍽️;fork and knife with plate
1F37E..1F37F; Emoji;🍾..🍿;bottle with popping cork..popcorn
1F380..1F393; Emoji;🎀..🎓;ribbon..graduation cap
1F396..1F397; Emoji;🎖️..🎗️;military medal..reminder ribbon
1F399..1F39B; Emoji;🎙️..🎛️;studio microphone..control knobs
1F39E..1F39F; Emoji;🎞️..🎟️;film frames..admission tickets
1F3A0..1F3C4; Emoji;🎠..🏄;carousel horse..person surfing
1F3C5; Emoji;🏅;sports medal
1F3C6; Emoji;🏆;trophy
1F3C7; Emoji;🏇;horse racing
1F3C8; Emoji;🏈;american football
1F3C9; Emoji;🏉;rugby football
1F3CA; Emoji;🏊;person swimming
1F3CB..1F3CE; Emoji;🏋️..🏎️;person lifting weights..racing car
1F3CF..1F3D3; Emoji;🏏..🏓;cricket game..ping pong
1F3D4..1F3DF; Emoji;🏔️..🏟️;snow-capped mountain..stadium
1F3E0..1F3E3; Emoji;🏠..🏣;house..Japanese post office
1F3E4; Emoji;🏤;post office
1F3E5..1F3F0; Emoji;🏥..🏰;hospital..castle
1F3F3; Emoji;🏳️;white flag
1F3F4; Emoji;🏴;black flag
1F3F5; Emoji;🏵️;rosette
1F3F7; Emoji;🏷️;label
1F3F8..1F407; Emoji;🏸..🐇;badminton..rabbit
1F408; Emoji;🐈;cat
1F409..1F40B; Emoji;🐉..🐋;dragon..whale
1F40C..1F40E; Emoji;🐌..🐎;snail..horse
1F40F..1F410; Emoji;🐏..🐐;ram..goat
1F411..1F412; Emoji;🐑..🐒;ewe..monkey
1F413; Emoji;🐓;rooster
1F414; Emoji;🐔;chicken
1F415; Emoji;🐕;dog
1F416; Emoji;🐖;pig
1F417..1F429; Emoji;🐗..🐩;boar..poodle
1F42A; Emoji;🐪;camel
1F42B..1F43E; Emoji;🐫..🐾;two-hump camel..paw prints
1F43F; Emoji;🐿️;chipmunk
1F440; Emoji;👀;eyes
1F441; Emoji;👁️;eye
1F442..1F464; Emoji;👂..👤;ear..bust in silhouette
1F465; Emoji;👥;busts in silhouette
1F466..1F46B; Emoji;👦..👫;boy..woman and man holding hands
1F46C..1F46D; Emoji;👬..👭;men holding hands..women holding hands
1F46E..1F4AC; Emoji;👮..💬;police officer..speech balloon
1F4AD; Emoji;💭;thought balloon
1F4AE..1F4B5; Emoji;💮..💵;white flower..dollar banknote
1F4B6..1F4B7; Emoji;💶..💷;euro banknote..pound banknote
1F4B8..1F4EB; Emoji;💸..📫;money with wings..closed mailbox with raised flag
1F4EC..1F4ED; Emoji;📬..📭;open mailbox with raised flag..open mailbox with lowered flag
1F4EE; Emoji;📮;postbox
1F4EF; Emoji;📯;postal horn
1F4F0..1F4F4; Emoji;📰..📴;newspaper..mobile phone off
1F4F5; Emoji;📵;no mobile phones
1F4F6..1F4F7; Emoji;📶..📷;antenna bars..camera
1F4F8; Emoji;📸;camera with flash
1F4F9..1F4FC; Emoji;📹..📼;video camera..videocassette
1F4FD; Emoji;📽️;film projector
1F4FF..1F502; Emoji;📿..🔂;prayer beads..repeat single button
1F503; Emoji;🔃;clockwise vertical arrows
1F504..1F507; Emoji;🔄..🔇;counterclockwise arrows button..muted speaker
1F508; Emoji;🔈;speaker low volume
1F509; Emoji;🔉;speaker medium volume
1F50A..1F514; Emoji;🔊..🔔;speaker high volume..bell
1F515; Emoji;🔕;bell with slash
1F516..1F52B; Emoji;🔖..🔫;bookmark..pistol
1F52C..1F52D; Emoji;🔬..🔭;microscope..telescope
1F52E..1F53D; Emoji;🔮..🔽;crystal ball..downwards button
1F549..1F54A; Emoji;🕉️..🕊️;om..dove
1F54B..1F54E; Emoji;🕋..🕎;kaaba..menorah
1F550..1F55B; Emoji;🕐..🕛;one o’clock..twelve o’clock
1F55C..1F567; Emoji;🕜..🕧;one-thirty..twelve-thirty
1F56F..1F570; Emoji;🕯️..🕰️;candle..mantelpiece clock
1F573..1F579; Emoji;🕳️..🕹️;hole..joystick
1F57A; Emoji;🕺;man dancing
1F587; Emoji;🖇️;linked paperclips
1F58A..1F58D; Emoji;🖊️..🖍️;pen..crayon
1F590; Emoji;🖐️;hand with fingers splayed
1F595..1F596; Emoji;🖕..🖖;middle finger..vulcan salute
1F5A4; Emoji;🖤;black heart
1F5A5; Emoji;🖥️;desktop computer
1F5A8; Emoji;🖨️;printer
1F5B1..1F5B2; Emoji;🖱️..🖲️;computer mouse..trackball
1F5BC; Emoji;🖼️;framed picture
1F5C2..1F5C4; Emoji;🗂️..🗄️;card index dividers..file cabinet
1F5D1..1F5D3; Emoji;🗑️..🗓️;wastebasket..spiral calendar
1F5DC..1F5DE; Emoji;🗜️..🗞️;clamp..rolled-up newspaper
1F5E1; Emoji;🗡️;dagger
1F5E3; Emoji;🗣️;speaking head
1F5E8; Emoji;🗨️;left speech bubble
1F5EF; Emoji;🗯️;right anger bubble
1F5F3; Emoji;🗳️;ballot box with ballot
1F5FA; Emoji;🗺️;world map
1F5FB..1F5FF; Emoji;🗻..🗿;mount fuji..moai
1F600; Emoji;😀;grinning face
1F601..1F606; Emoji;😁..😆;beaming face with smiling eyes..grinning squinting face
1F607..1F608; Emoji;😇..😈;smiling face with halo..smiling face with horns
1F609..1F60D; Emoji;😉..😍;winking face..smiling face with heart-eyes
1F60E; Emoji;😎;smiling face with sunglasses
1F60F; Emoji;😏;smirking face
1F610; Emoji;😐;neutral face
1F611; Emoji;😑;expressionless face
1F612..1F614; Emoji;😒..😔;unamused face..pensive face
1F615; Emoji;😕;confused face
1F616; Emoji;😖;confounded face
1F617; Emoji;😗;kissing face
1F618; Emoji;😘;face blowing a kiss
1F619; Emoji;😙;kissing face with smiling eyes
1F61A; Emoji;😚;kissing face with closed eyes
1F61B; Emoji;😛;face with tongue
1F61C..1F61E; Emoji;😜..😞;winking face with tongue..disappointed face
1F61F; Emoji;😟;worried face
1F620..1F625; Emoji;😠..😥;angry face..sad but relieved face
1F626..1F627; Emoji;😦..😧;frowning face with open mouth..anguished face
1F628..1F62B; Emoji;😨..😫;fearful face..tired face
1F62C; Emoji;😬;grimacing face
1F62D; Emoji;😭;loudly crying face
1F62E..1F62F; Emoji;😮..😯;face with open mouth..hushed face
1F630..1F633; Emoji;😰..😳;anxious face with sweat..flushed face
1F634; Emoji;😴;sleeping face
1F635; Emoji;😵;dizzy face
1F636; Emoji;😶;face without mouth
1F637..1F640; Emoji;😷..🙀;face with medical mask..weary cat
1F641..1F644; Emoji;🙁..🙄;slightly frowning face..face with rolling eyes
1F645..1F64F; Emoji;🙅..🙏;person gesturing NO..folded hands
1F680; Emoji;🚀;rocket
1F681..1F682; Emoji;🚁..🚂;helicopter..locomotive
1F683..1F685; Emoji;🚃..🚅;railway car..bullet train
1F686; Emoji;🚆;train
1F687; Emoji;🚇;metro
1F688; Emoji;🚈;light rail
1F689; Emoji;🚉;station
1F68A..1F68B; Emoji;🚊..🚋;tram..tram car
1F68C; Emoji;🚌;bus
1F68D; Emoji;🚍;oncoming bus
1F68E; Emoji;🚎;trolleybus
1F68F; Emoji;🚏;bus stop
1F690; Emoji;🚐;minibus
1F691..1F693; Emoji;🚑..🚓;ambulance..police car
1F694; Emoji;🚔;oncoming police car
1F695; Emoji;🚕;taxi
1F696; Emoji;🚖;oncoming taxi
1F697; Emoji;🚗;automobile
1F698; Emoji;🚘;oncoming automobile
1F699..1F69A; Emoji;🚙..🚚;sport utility vehicle..delivery truck
1F69B..1F6A1; Emoji;🚛..🚡;articulated lorry..aerial tramway
1F6A2; Emoji;🚢;ship
1F6A3; Emoji;🚣;person rowing boat
1F6A4..1F6A5; Emoji;🚤..🚥;speedboat..horizontal traffic light
1F6A6; Emoji;🚦;vertical traffic light
1F6A7..1F6AD; Emoji;🚧..🚭;construction..no smoking
