"devanagari";"roman";"unicode"
"अ";"a,A";0905
"आ";"ā,Ā";0906
"इ";"i,I";0907
"ई";"ī,Ī";0908
"उ";"u,U";0909
"ऊ";"ū,Ū";090a
"ऋ";"ṛ,Ṛ";090b
"ॠ";"ṝ,Ṝ";0960
"ऌ";"ḷ,Ḷ";090c
"ॡ";"ḹ,Ḹ";0961
"ए";"e,E";090f
"ऐ";"ai,Ai";0910
"ओ";"o,O";0913
"औ";"au,Au";0914
"ं";"ṃ,Ṃ";0902
"ः";"Ḥ";0903
"ँ";"˜";0901
"ऽ";"'";093d
"क";"k,K";0915
"ख";"kh,Kh";0916
"ग";"g,G";0917
"घ";"gh,Gh";0918
"ङ";"ṅ,Ṅ";0919
"च";"c,C";091a
"छ";"ch,Ch";091b
"ज";"j,J";091c
"झ";"jh,Jh";091d
"ञ";"ñ,Ñ";091e
"ट";"ṭ,Ṭ";091f
"ठ";"ṭh,Ṭh";0920
"ड";"ḍ,Ḍ";0921
"ढ";"ḍh,Ḍh";0922
"ण";"ṇ,Ṇ";0923
"त";"t,T";0924
"थ";"th,Th";0925
"द"; "d,D";0926
"ध";"dh,Dh";0927
"न";"n,N";0928
"प";"p,P";092a
"फ";"ph,Ph";092b
"ब";"b,B";092c
"भ";"bh,Bh";092d
"म";"m,M";092e
"य";"y,Y";092f
"र";"r,R";0930
"ल";"l,L";0932
"व";"v,V";0935
"श";"ś,Ś";0936
"ष";"ṣ,Ṣ";0937
"स";"s,S";0938
"ह";"h,H";0939
